Year,State,County ID,County Name (State),All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2011,27,27001,Aitkin County (MN),"15,973","2,101","1,735","2,467","1,735 to 2,467",13.2,10.9,15.5,10.9 to 15.5,"2,796",640,481,799,481 to 799,22.9,17.2,28.6,17.2 to 28.6,"2,045",434,318,550,318 to 550,21.2,15.5,26.9,15.5 to 26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,958 ","$37,015 ","$42,901 ","$37,015 to $42,901"
2011,27,27003,Anoka County (MN),"329,686","28,257","25,257","31,257","25,257 to 31,257",8.6,7.7,9.5,7.7 to 9.5,"83,626","9,323","7,912","10,734","7,912 to 10,734",11.1,9.4,12.8,9.4 to 12.8,"61,677","6,041","5,022","7,060","5,022 to 7,060",9.8,8.1,11.5,8.1 to 11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,799 ","$62,047 ","$65,551 ","$62,047 to $65,551"
2011,27,27005,Becker County (MN),"32,267","4,176","3,525","4,827","3,525 to 4,827",12.9,10.9,14.9,10.9 to 14.9,"7,837","1,595","1,269","1,921","1,269 to 1,921",20.4,16.2,24.6,16.2 to 24.6,"5,694","1,010",755,"1,265","755 to 1,265",17.7,13.2,22.2,13.2 to 22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,819 ","$45,653 ","$49,985 ","$45,653 to $49,985"
2011,27,27007,Beltrami County (MN),"43,231","8,835","7,536","10,134","7,536 to 10,134",20.4,17.4,23.4,17.4 to 23.4,"11,067","3,280","2,681","3,879","2,681 to 3,879",29.6,24.2,35,24.2 to 35.0,"7,655","2,135","1,681","2,589","1,681 to 2,589",27.9,22,33.8,22.0 to 33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,657 ","$37,252 ","$44,062 ","$37,252 to $44,062"
2011,27,27009,Benton County (MN),"38,007","4,381","3,629","5,133","3,629 to 5,133",11.5,9.5,13.5,9.5 to 13.5,"9,359","1,320","1,040","1,600","1,040 to 1,600",14.1,11.1,17.1,11.1 to 17.1,"6,603",819,622,"1,016","622 to 1,016",12.4,9.4,15.4,9.4 to 15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,482 ","$45,634 ","$53,330 ","$45,634 to $53,330"
2011,27,27011,Big Stone County (MN),"5,101",765,633,897,633 to 897,15,12.4,17.6,12.4 to 17.6,"1,070",225,178,272,178 to 272,21,16.6,25.4,16.6 to 25.4,768,146,112,180,112 to 180,19,14.5,23.5,14.5 to 23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,190 ","$39,697 ","$46,683 ","$39,697 to $46,683"
2011,27,27013,Blue Earth County (MN),"60,423","11,085","9,946","12,224","9,946 to 12,224",18.3,16.4,20.2,16.4 to 20.2,"12,149","2,100","1,760","2,440","1,760 to 2,440",17.3,14.5,20.1,14.5 to 20.1,"8,380","1,268","1,020","1,516","1,020 to 1,516",15.1,12.1,18.1,12.1 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,280 ","$42,822 ","$49,738 ","$42,822 to $49,738"
2011,27,27015,Brown County (MN),"24,691","1,980","1,560","2,400","1,560 to 2,400",8,6.3,9.7,6.3 to 9.7,"5,504",631,477,785,477 to 785,11.5,8.7,14.3,8.7 to 14.3,"3,985",414,306,522,306 to 522,10.4,7.7,13.1,7.7 to 13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,339 ","$46,804 ","$53,874 ","$46,804 to $53,874"
2011,27,27017,Carlton County (MN),"33,785","4,118","3,445","4,791","3,445 to 4,791",12.2,10.2,14.2,10.2 to 14.2,"8,012","1,074",849,"1,299","849 to 1,299",13.4,10.6,16.2,10.6 to 16.2,"5,841",686,520,852,520 to 852,11.7,8.9,14.5,8.9 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,357 ","$46,281 ","$52,433 ","$46,281 to $52,433"
2011,27,27019,Carver County (MN),"91,820","4,926","3,982","5,870","3,982 to 5,870",5.4,4.4,6.4,4.4 to 6.4,"27,178","1,678","1,325","2,031","1,325 to 2,031",6.2,4.9,7.5,4.9 to 7.5,"20,590","1,049",807,"1,291","807 to 1,291",5.1,3.9,6.3,3.9 to 6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$85,314 ","$79,920 ","$90,708 ","$79,920 to $90,708"
